wk_full,wk,id,bundesland_de,bundesland_en
148 Siegen-Wittgenstein,Siegen-Wittgenstein,148,Nordrhein-Westfalen,North Rhine-Westphalia
150 Märkischer Kreis II,Märkischer Kreis II,150,Nordrhein-Westfalen,North Rhine-Westphalia
138 Hagen – Ennepe-Ruhr-Kreis I,Hagen – Ennepe-Ruhr-Kreis I,138,Nordrhein-Westfalen,North Rhine-Westphalia
120 Essen III,Essen III,120,Nordrhein-Westfalen,North Rhine-Westphalia
102 Wuppertal I,Wuppertal I,102,Nordrhein-Westfalen,North Rhine-Westphalia
104 Mettmann I,Mettmann I,104,Nordrhein-Westfalen,North Rhine-Westphalia
105 Mettmann II,Mettmann II,105,Nordrhein-Westfalen,North Rhine-Westphalia
091 Rhein-Erft-Kreis I,Rhein-Erft-Kreis I,091,Nordrhein-Westfalen,North Rhine-Westphalia
190 Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,190,Thüringen,Thuringia
189 Eichsfeld – Nordhausen – Kyffhäuserkreis,Eichsfeld – Nordhausen – Kyffhäuserkreis,189,Thüringen,Thuringia
088 Aachen II,Aachen II,088,Nordrhein-Westfalen,North Rhine-Westphalia
073 Burgenland – Saalekreis,Burgenland – Saalekreis,073,Sachsen-Anhalt,Saxony-Anhalt
153 Leipzig II,Leipzig II,153,Sachsen,Saxony
154 Leipzig-Land,Leipzig-Land,154,Sachsen,Saxony
159 Dresden I,Dresden I,159,Sachsen,Saxony
160 Dresden II – Bautzen II,Dresden II – Bautzen II,160,Sachsen,Saxony
163 Chemnitzer Umland – Erzgebirgskreis II,Chemnitzer Umland – Erzgebirgskreis II,163,Sachsen,Saxony
090 Düren,Düren,090,Nordrhein-Westfalen,North Rhine-Westphalia
095 Köln III,Köln III,095,Nordrhein-Westfalen,North Rhine-Westphalia
101 Leverkusen – Köln IV,Leverkusen – Köln IV,101,Nordrhein-Westfalen,North Rhine-Westphalia
103 Solingen – Remscheid – Wuppertal II,Solingen – Remscheid – Wuppertal II,103,Nordrhein-Westfalen,North Rhine-Westphalia
149 Olpe – Märkischer Kreis I,Olpe – Märkischer Kreis I,149,Nordrhein-Westfalen,North Rhine-Westphalia
191 Jena – Sömmerda – Weimarer Land I,Jena – Sömmerda – Weimarer Land I,191,Thüringen,Thuringia
193 Erfurt – Weimar – Weimarer Land II,Erfurt – Weimar – Weimarer Land II,193,Thüringen,Thuringia
167 Waldeck,Waldeck,167,Hessen,Hesse
168 Kassel,Kassel,168,Hessen,Hesse
087 Aachen I,Aachen I,087,Nordrhein-Westfalen,North Rhine-Westphalia
158 Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,158,Sachsen,Saxony
161 Mittelsachsen,Mittelsachsen,161,Sachsen,Saxony
162 Chemnitz,Chemnitz,162,Sachsen,Saxony
100 Rheinisch-Bergischer Kreis,Rheinisch-Bergischer Kreis,100,Nordrhein-Westfalen,North Rhine-Westphalia
093 Köln I,Köln I,093,Nordrhein-Westfalen,North Rhine-Westphalia
094 Köln II,Köln II,094,Nordrhein-Westfalen,North Rhine-Westphalia
